relation,n_gt,n_random,cutoff_density_intersection,cutoff_youdenJ,youdenJ_TPR,youdenJ_FPR,youdenJ_J,cutoff_roc_knee,roc_knee_TPR,roc_knee_FPR
anatomy_anatomy,1000,1000,-1.9513154888621236,-2.07177472114563,0.883,0.053,0.83,-2.4734714031219482,0.905,0.082
anatomy_gene,1000,1000,-0.2215737164647949,-0.12537936866283417,0.99,0.009,0.981,-0.13161294162273407,0.991,0.01
biologicalprocess_biologicalprocess,1000,1000,-0.9388213179367579,-0.8468714952468872,0.885,0.12,0.765,-0.8468714952468872,0.885,0.12
biologicalprocess_chemicalentity,1000,1000,-1.5717043429806292,-1.4155235290527344,0.89,0.024,0.866,-1.9115145206451416,0.916,0.059
biologicalprocess_gene,1000,1000,-0.3460945249374513,-0.3233458995819092,0.975,0.085,0.89,-0.2253418266773224,0.957,0.073
cellularcomponent_cellularcomponent,1000,1000,-0.44039090324079444,-0.06455478072166443,0.6,0.167,0.43299999999999994,-0.08641742914915085,0.636,0.221
cellularcomponent_gene,1000,1000,-0.19218662814233028,-0.15984520316123962,0.962,0.14,0.822,-0.11527565121650696,0.936,0.122
chemicalentity_biologicalprocess,303,303,-0.9570159383924257,-1.6336934566497803,0.9900990099009901,0.006600660066006601,0.9834983498349835,-1.6336934566497803,0.9900990099009901,0.006600660066006601
chemicalentity_chemicalentity,1000,1000,-0.9763138102696333,-0.7842190861701965,0.989,0.004,0.985,-1.0086346864700317,0.992,0.007
chemicalentity_disease,1000,1000,-0.7714167933973184,-0.8474348783493042,0.996,0.011,0.985,-0.6911269426345825,0.993,0.009
chemicalentity_gene,1000,1000,-0.45923840957862494,-0.4749467968940735,0.986,0.017,0.969,-0.4749467968940735,0.986,0.017
chemicalentity_inhibits_biologicalprocess,1000,1000,-1.9631749335890234,-1.8559989929199219,0.966,0.011,0.955,-2.1788060665130615,0.976,0.021
chemicalentity_mutation,1000,1000,-3.2520123717312073,-3.3309037685394287,0.961,0.01,0.951,-3.3309037685394287,0.961,0.01
chemicalentity_pathway,1000,1000,-1.0059657621245968,-1.0238676071166992,0.984,0.016,0.968,-1.0238676071166992,0.984,0.016
chemicalentity_promotes_biologicalprocess,1000,1000,-1.3350235764637788,-1.1244933605194092,0.969,0.003,0.966,-1.4733517169952393,0.977,0.014
chemicalentity_protein,1000,1000,-1.278288680395736,-1.2117393016815186,0.993,0.002,0.991,-1.2117393016815186,0.993,0.002
chemicalentity_tissue,258,258,-0.6816606016615508,-1.0481643676757812,0.9961240310077519,0.01937984496124031,0.9767441860465116,-1.0481643676757812,0.9961240310077519,0.01937984496124031
disease_anatomy,1000,1000,-1.207192325123021,-1.2882157564163208,0.985,0.044,0.941,-0.9433763027191162,0.967,0.032
disease_chemicalentity,1000,1000,-0.8508217883456505,-0.9240601062774658,1.0,0.005,0.995,-0.7446281909942627,0.997,0.003
disease_disease,1000,1000,-0.9675771333521043,-0.860145628452301,0.925,0.051,0.874,-0.9268094897270203,0.931,0.058
disease_gene,1000,1000,-0.24591105338625133,-0.22064419090747833,0.985,0.038,0.947,-0.22064419090747833,0.985,0.038
disease_mutation,425,425,-1.9375423157574594,-1.692984938621521,0.9458823529411765,0.002352941176470588,0.943529411764706,-2.003509759902954,0.9482352941176471,0.004705882352941176
disease_phenotype,1000,1000,-0.9021390583056216,-0.8648020625114441,0.983,0.019,0.964,-0.8648020625114441,0.983,0.019
gene_anatomy,1000,1000,-0.21313857543847367,-0.2036191076040268,1.0,0.012,0.988,-0.2036191076040268,1.0,0.012
gene_biologicalprocess,1000,1000,-0.2396695751255853,-0.23186537623405457,0.969,0.077,0.892,-0.17739129066467285,0.957,0.067
gene_cellularcomponent,1000,1000,-0.14654042023144626,-0.07042131572961807,0.926,0.074,0.8520000000000001,-0.07042131572961807,0.926,0.074
gene_chemicalentity,1000,1000,-0.595853197955291,-0.5463453531265259,0.984,0.019,0.965,-0.5463453531265259,0.984,0.019
gene_disease,1000,1000,-0.3918962404018444,-0.378631591796875,0.977,0.068,0.909,-0.2899717092514038,0.963,0.06
gene_gene,1000,1000,-0.22306360077912896,-0.21408286690711975,0.985,0.079,0.906,-0.13047732412815094,0.966,0.064
gene_inhibits_biologicalprocess,1000,1000,-0.4487831045992016,-0.4217306077480316,0.991,0.01,0.981,-0.4217306077480316,0.991,0.01
gene_molecularfunction,1000,1000,-0.3542058932825372,-0.3400476276874542,0.979,0.033,0.946,-0.3400476276874542,0.979,0.033
gene_mutation,252,252,-2.8315354002120787,-2.604215383529663,0.9285714285714286,0.003968253968253968,0.9246031746031746,-3.234391689300537,0.9444444444444444,0.027777777777777776
gene_noeffect_biologicalprocess,1000,1000,-0.1787704100858994,-0.24235975742340088,1.0,0.0,1.0,-0.24235975742340088,1.0,0.0
gene_pathway,1000,1000,-0.19070685445557284,-0.11531888693571091,0.97,0.072,0.898,-0.11239171028137207,0.968,0.071
gene_phenotype,1000,1000,-0.5679318809063116,-0.5972503423690796,0.973,0.051,0.9219999999999999,-0.5972503423690796,0.973,0.051
gene_promotes_biologicalprocess,1000,1000,-0.5145047393680329,-0.5004923343658447,0.984,0.012,0.972,-0.5004923343658447,0.984,0.012
gene_protein,1000,1000,-1.3770325759431163,-1.1384143829345703,0.904,0.025,0.879,-1.5204417705535889,0.927,0.053
gene_tissue,1000,1000,-0.36348049089684153,-0.330390602350235,0.94,0.161,0.7789999999999999,-0.2947048842906952,0.921,0.151
molecularfunction_biologicalprocess,848,848,-1.0991937872449753,-1.0595189332962036,0.8879716981132075,0.08136792452830188,0.8066037735849056,-1.0595189332962036,0.8879716981132075,0.08136792452830188
molecularfunction_chemicalentity,1000,1000,-2.1039159862163364,-1.9661197662353516,0.929,0.011,0.918,-2.5712554454803467,0.944,0.034
molecularfunction_molecularfunction,1000,1000,-1.1746718418675108,-1.1384735107421875,0.914,0.065,0.849,-1.1702520847320557,0.916,0.067
mutation_disease,570,570,-2.073859443214028,-2.005960702896118,0.9368421052631579,0.005263157894736842,0.9315789473684211,-2.4210498332977295,0.9473684210526315,0.017543859649122806
mutation_gene,277,277,-2.7533474469485553,-2.6113476753234863,0.9097472924187726,0.0036101083032490976,0.9061371841155235,-2.6113476753234863,0.9097472924187726,0.0036101083032490976
mutation_protein,1000,1000,-2.1186373076251876,-2.301442861557007,0.982,0.011,0.971,-2.301442861557007,0.982,0.011
pathway_gene,1000,1000,-0.17474816212636954,-0.12374202907085419,0.978,0.055,0.9229999999999999,-0.10712797194719315,0.97,0.049
pathway_pathway,1000,1000,-0.4457249300818006,-0.29623138904571533,0.884,0.098,0.786,-0.3018374741077423,0.887,0.101
phenotype_chemicalentity,1000,1000,-0.43967790690486463,-0.4061959981918335,1.0,0.0,1.0,-0.4061959981918335,1.0,0.0
phenotype_disease,1000,1000,-0.6121879435868132,-0.5723643898963928,0.989,0.015,0.974,-0.5723643898963928,0.989,0.015
phenotype_gene,1000,1000,-0.2649283768044679,-0.24071994423866272,0.99,0.021,0.969,-0.24071994423866272,0.99,0.021
phenotype_phenotype,1000,1000,-1.65993006716929,-1.7266459465026855,0.92,0.02,0.9,-1.9880733489990234,0.929,0.034
plantextract_chemicalentity,1000,1000,-1.502077011591831,-1.58282470703125,0.951,0.014,0.9369999999999999,-1.9613254070281982,0.961,0.029
plantextract_disease,1000,1000,-0.9905028081225006,-0.9792507886886597,0.964,0.01,0.954,-1.2869230508804321,0.971,0.02
pmid_cellularcomponent,1000,1000,-0.8414552131065446,-0.9722887873649597,0.994,0.037,0.957,-0.7997081279754639,0.982,0.028
pmid_chemicalentity,1000,1000,-2.043402212390531,-2.0046732425689697,0.993,0.002,0.991,-2.0046732425689697,0.993,0.002
pmid_disease,1000,1000,-0.9550733053772609,-0.9089969992637634,0.995,0.01,0.985,-0.9089969992637634,0.995,0.01
pmid_protein,1000,1000,-1.0536591292954962,-1.0206780433654785,0.999,0.0,0.999,-1.0206780433654785,0.999,0.0
pmid_tissue,1000,1000,-0.7717790288622148,-0.7209391593933105,0.981,0.038,0.943,-0.7209391593933105,0.981,0.038
protein_biologicalprocess,1000,1000,-0.8829778596435655,-0.7688343524932861,0.958,0.02,0.938,-0.9738508462905884,0.97,0.033
protein_cellularcomponent,1000,1000,-0.37213361771022274,-0.3206856846809387,0.966,0.068,0.8979999999999999,-0.287343829870224,0.959,0.062
protein_disease,1000,1000,-0.47681675414609276,-0.4599164128303528,0.998,0.02,0.978,-0.41239863634109497,0.994,0.018
protein_molecularfunction,1000,1000,-0.7604208845711855,-0.8043118715286255,0.962,0.03,0.9319999999999999,-0.826410174369812,0.963,0.031
protein_pathway,1000,1000,-0.7235755526709167,-0.6325758099555969,0.968,0.03,0.938,-0.6325758099555969,0.968,0.03
protein_phenotype,328,328,-1.6240831464996135,-1.51882803440094,0.9695121951219512,0.021341463414634148,0.948170731707317,-1.6427522897720337,0.975609756097561,0.027439024390243903
protein_protein,1000,1000,-0.7130361370149769,-0.7141047120094299,0.998,0.025,0.973,-0.5769057869911194,0.993,0.023
protein_tissue,1000,1000,-0.7909755100484874,-0.7085659503936768,0.979,0.047,0.9319999999999999,-0.7001601457595825,0.977,0.046
